isin,kind
BRACWICTF001,etf
BRADSHCTF009,closedend
BRAFHFCTF001,mutual
BRAFHICTF005,closedend
BRAGRICTF002,etf
BRAGRXCTF001,closedend
BRAIECCTF009,closedend
BRAJFICTF001,mutual
BRALMICTF003,closedend
BRALUGCTF000,etf
BRALUPCDAM15,etf
BRALZCCTF016,closedend
BRALZRCTF006,closedend
BRAMABCTF001,mutual
BRANCRCTF001,mutual
BRAPTOCTF007,closedend
BRAPXMCTF003,closedend
BRAPXRCTF002,mutual
BRAPXUCTF006,closedend
BRAREACTF004,etf
BRARGECTF001,etf
BRAROACTF003,closedend
BRARRICTF009,mutual
BRARTECTF004,closedend
BRARXDCTF008,closedend
BRASRFCTF003,closedend
BRATSACTF000,closedend
BRAUPOCTF005,etf
BRAURBCTF008,closedend
BRAUROCTF001,etf
BRAUVPCTF000,etf
BRAVURCTF006,closedend
BRAVURCTF014,closedend
BRAZINCTF019,closedend
BRAZPLCTF000,closedend
BRB3BRCTF009,etf
BRB5MBCTF005,etf
BRB5P2CTF001,etf
BRBBFOCTF004,closedend
BRBBGOCTF002,closedend
BRBBIGCTF004,mutual
BRBBOICTF008,etf
BRBBOVCTF001,etf
BRBBRCCTF004,closedend
BRBBSDCTF000,etf
BRBCDICTF009,closedend
BRBCIACTF005,closedend
BRBCICCTF001,etf
BRBCRICTF009,closedend
BRBDAPCTF008,etf
BRBDEFCTF001,etf
BRBDIFCTF002,closedend
BRBDIVCTF009,closedend
BRBDOMCTF006,etf
BRBESTCTF000,etf
BRBFCCCTF007,closedend
BRBGRBCTF005,mutual
BRBICECTF007,closedend
BRBIDBCTF001,closedend
BRBIMECTF006,closedend
BRBINCCTF008,mutual
BRBISECTF003,closedend
BRBITCCTF013,etf
BRBITHCTF004,etf
BRBITICTF010,etf
BRBIZDCTF000,etf
BRBLCACTF009,closedend
BRBLFTCTF002,etf
BRBLMGCTF005,mutual
BRBLMOCTF009,mutual
BRBLOGCTF001,mutual
BRBMLCCTF004,closedend
BRBMMTCTF006,etf
BRBNDXCTF005,etf
BRBNFSCTF000,closedend
BRBNKSCTF000,etf
BRBODBCTF009,closedend
BRBODICTF004,closedend
BRBOL5CTF001,etf
BRBOVACTF003,etf
BRBOVBCTF001,etf
BRBOVSCTF005,etf
BRBOVVCTF009,etf
BRBOVXCTF005,etf
BRBPACUNT006,etf
BRBPMLCTF006,closedend
BRBPRECTF018,etf
BRBRAXCTF002,etf
BRBRAZCTF007,etf
BRBRBICDAM10,etf
BRBRCOCTF007,closedend
BRBRCRCTF000,closedend
BRBREWCTF006,etf
BRBRFTCTF009,closedend
BRBRIPCTF001,closedend
BRBROFCTF000,closedend
BRBRXCCTF008,etf
BRBRZPCTF005,mutual
BRBSLTCTF005,closedend
BRBTAGCTF003,closedend
BRBTALCTF003,mutual
BRBTCICTF005,closedend
BRBTERCTF002,etf
BRBTHFCTF000,mutual
BRBTHICTF004,closedend
BRBTLGCTF000,closedend
BRBTRACTF000,closedend
BRBTRUCTF008,closedend
BRBTYUCTF004,mutual
BRBULZCTF008,etf
BRBVBRCTF004,etf
BRBXPOCTF007,etf
BRBZEQCTF001,etf
BRCACRCTF004,closedend
BRCAPECTF020,etf
BRCARECTF000,closedend
BRCASACTF014,etf
BRCAUTCTF002,closedend
BRCBOPCTF001,mutual
BRCCMECTF007,closedend
BRCDIBCTF009,etf
BRCDIICTF012,closedend
BRCEOCCTF003,closedend
BRCFIICTF009,closedend
BRCHIPCTF000,etf
BRCJCTCTF001,closedend
BRCLINCTF007,closedend
BRCLOBCTF000,etf
BRCMDBCTF001,etf
BRCNESCTF001,closedend
BRCOINCTF019,etf
BRCOPNCTF006,mutual
BRCORNCTF002,etf
BRCPDICTF017,mutual
BRCPLGCTF006,closedend
BRCPOFCTF002,closedend
BRCPSHCTF017,closedend
BRCPTICTF005,closedend
BRCPTRCTF006,closedend
BRCPTSCTF004,closedend
BRCPURCTF004,mutual
BRCRAACTF008,closedend
BRCRFFCTF006,closedend
BRCRPTCTF006,etf
BRCTEMCTF001,mutual
BRCTXTCTF014,closedend
BRCXAGCTF003,closedend
BRCXCECTF004,closedend
BRCXCICTF005,closedend
BRCXCOCTF003,mutual
BRCXRICTF003,closedend
BRCXTLCTF003,closedend
BRCYCRCTF004,closedend
BRCYLDCTF005,closedend
BRDAMACTF007,closedend
BRDAMTCTF007,mutual
BRDAYMCTF007,closedend
BRDBINCTF006,mutual
BRDCRACTF002,closedend
BRDEBBCTF000,etf
BRDEFICTF006,etf
BRDEVACTF000,closedend
BRDIVDCTF005,etf
BRDIVOCTF002,etf
BRDIVSCTF003,closedend
BRDOLACTF018,etf
BRDOLBCTF008,etf
BRDOLXCTF002,etf
BRDPROCTF005,closedend
BRDVERCTF038,etf
BRDVLPCTF003,mutual
BREBITCTF001,etf
BRECOOCTF008,etf
BREDFOCTF004,closedend
BREDGACTF001,closedend
BREDGECTF003,mutual
BREETHCTF007,etf
BREGAFCTF006,closedend
BREGDBCTF009,mutual
BREIRACTF007,mutual
BRELASCTF009,etf
BREMETCTF007,mutual
BRENDDCTF001,closedend
BRENGICDAM16,etf
BREQIRCTF003,closedend
BRERPACTF002,mutual
BRESGBCTF007,etf
BRESUTCTF000,closedend
BRETHECTF007,etf
BRETHYCTF005,etf
BREUATCTF008,etf
BREUROCTF011,closedend
BREWBZCTF009,etf
BREXESCTF006,closedend
BREXIFCTF012,mutual
BRFAEDCTF003,closedend
BRFAMBCTF018,closedend
BRFATNCTF000,closedend
BRFCFLCTF009,closedend
BRFDESCTF005,closedend
BRFGAACTF004,closedend
BRFIGSCTF009,closedend
BRFIIBCTF001,closedend
BRFIIPCTF001,closedend
BRFINDCTF007,etf
BRFISCCTF008,mutual
