isin,kind
BG2100021257,corporate
BG2100024251,corporate
BG2100032254,corporate
BG2100033252,corporate
BG2100054241,corporate
CA001181AM88,corporate
CA001181AN61,corporate
CA001181AP10,corporate
CA001181AQ92,corporate
CA00791PAA53,corporate
CA011664AC36,corporate
CA011664AD19,corporate
CA01921DAA33,corporate
CA026695AB20,corporate
CA04041BAA67,corporate
CA045167FD06,government
CA045167GC14,government
CA045167GN78,government
CA04964GAH35,corporate
CA04964GAJ90,corporate
CA110709GJ55,government
CA11777PAJ18,corporate
CA135087D358,government
CA135087H235,government
CA135087J397,government
CA135087R713,government
CA135087S547,government
CA135087U287,government
CA135087XW98,government
CA13509PFL28,corporate
CA13509PFX65,corporate
CA13509PGF41,corporate
CA13509PGL19,corporate
CA13509PHD83,corporate
CA13509PHM82,corporate
CA13509PHQ96,corporate
CA13509PHS52,government
CA13509PHU09,corporate
CA13509PHW64,corporate
CA13509PHX48,corporate
CA13509PHY21,corporate
CA13509PHZ95,corporate
CA13509PJA27,corporate
CA13509PJB00,corporate
CA13509PJC82,corporate
CA13509PJD65,corporate
CA13509PJE49,corporate
CA13509PJF14,corporate
CA13509PJK09,corporate
CA13509PJL81,corporate
CA13509PJN48,corporate
CA13509PJP95,corporate
CA13509PJQ78,corporate
CA13509PJS35,corporate
CA13509PJT18,corporate
CA13509PJW47,corporate
CA13509PJX20,corporate
CA13509PJZ77,corporate
CA13509PKB80,corporate
CA13509PKC63,corporate
CA13509PKD47,corporate
CA13509PKH50,corporate
CA13509PKJ17,corporate
CA13509PKM46,corporate
CA13509PKN29,corporate
CA13766HAA73,corporate
CA14150GAC74,corporate
CA14150GAD57,corporate
CA16387PAP86,corporate
CA17040TAG72,corporate
CA172454AC48,corporate
CA21037XAA87,corporate
CA22821LAB05,corporate
CA23126MAD44,corporate
CA25490HAB20,corporate
CA255331AB66,corporate
CA255331AC40,corporate
CA26154LAB86,corporate
CA26829LAB32,corporate
CA26829LAC15,corporate
CA26829LAD97,corporate
CA31660AAD50,corporate
CA318323AM44,corporate
CA318323AN27,corporate
CA318323AP74,corporate
CA459056HW08,government
CA459058HF31,government
CA459058JK08,government
CA459058KF93,government
CA459058KM45,government
CA459058KV44,government
CA459058LB70,government
CA45950KCY43,government
CA61761EAC45,corporate
CA617914AP17,corporate
CA62910LAA04,corporate
